	Cycle_ID	Cap_Chg	Cap_DChg	Specific_Capacity-Chg	Specific_Capacity-DChg	Chg/DChg_Efficiency	Engy_Chg	Engy_DChg	REngy_Chg	REngy_Dchg	CC_Chg_Ratio	CC_Chg_Cap	Plat_Cap	Plat_Capacity_Density	Plat_Efficiency	Plat_Time	Capacitance_Chg	Capacitance_DChg	IR	Mid_value_Voltage	Discharge_Fading_Ratio	Charge_Time	Discharge_Time	Charge_IR	Discharge_IR	End_Temperature	Net_Cap_DChg	Net_Engy_DChg
102	72.44	73.92	72435.61	73915.88	102.044	256.73	259.70	256729.79	259695.69	100.00	72.44	19.92	19920.57	26.95	3:59:51.000	414575.85	410897.41	0.000	3544.7	377.05	14:31:50.000	14:49:52.000	528.292	251.004	0.0	1.48	2.97	
103	73.74	72.21	73736.28	72210.88	97.931	261.50	253.48	261497.02	253478.18	94.76	69.87	17.47	17470.13	24.19	0:29:59.000	418493.79	402351.28	0.000	3549.7	368.35	2:13:52.000	2:03:56.000	395.593	130.391	0.0	-1.53	-8.02	
104	72.33	72.22	72333.30	72223.93	99.849	256.85	253.53	256848.64	253525.51	88.52	64.03	17.47	17468.84	24.19	0:29:59.000	422521.32	402985.35	0.000	3549.7	368.42	2:11:22.000	2:03:58.000	500.572	130.130	0.0	-0.11	-3.32	
105	72.28	72.22	72280.57	72219.87	99.916	256.66	253.51	256660.42	253510.36	88.63	64.06	17.47	17469.44	24.19	0:29:59.000	422418.94	402837.82	0.000	3549.7	368.40	2:11:05.000	2:03:57.000	492.061	140.386	0.0	-0.06	-3.15	
106	72.28	72.23	72280.70	72231.24	99.932	256.66	253.57	256661.71	253566.37	88.61	64.04	17.47	17470.29	24.19	0:29:59.000	421393.57	402838.85	0.000	3549.7	368.46	2:11:18.000	2:03:58.000	483.410	137.845	0.0	-0.05	-3.10	
107	72.27	72.24	72267.19	72240.96	99.964	256.62	253.60	256619.04	253599.08	88.64	64.05	17.45	17450.87	24.16	0:29:57.000	421519.57	403267.86	0.000	3549.7	368.51	2:11:11.000	2:03:59.000	483.410	137.638	0.0	-0.03	-3.02	
108	72.23	72.23	72229.11	72231.24	100.003	256.48	253.57	256477.72	253568.63	88.64	64.03	17.45	17450.87	24.16	0:29:57.000	420411.93	402838.85	0.000	3549.7	368.46	2:11:00.000	2:03:58.000	456.236	138.018	0.0	0.00	-2.91	
109	72.21	72.22	72207.23	72221.53	100.020	256.40	253.54	256398.87	253538.03	88.68	64.04	17.47	17470.29	24.19	0:29:59.000	420965.21	402784.69	0.000	3549.7	368.41	2:10:50.000	2:03:57.000	479.119	137.638	0.0	0.01	-2.86	
110	72.26	72.23	72264.15	72231.24	99.954	256.60	253.57	256598.74	253572.36	88.63	64.04	17.45	17450.87	24.16	0:29:57.000	420412.01	403026.16	0.000	3549.7	368.46	2:11:08.000	2:03:58.000	460.526	137.638	0.0	-0.03	-3.03	
111	72.20	72.18	72204.06	72182.71	99.970	256.39	253.42	256389.88	253415.55	88.65	64.01	17.46	17460.58	24.19	0:29:58.000	420538.13	402942.72	0.000	3549.7	368.21	2:10:54.000	2:03:53.000	466.247	137.776	0.0	-0.02	-2.97	
112	72.28	72.17	72281.99	72173.43	99.850	256.67	253.39	256668.24	253391.13	88.63	64.06	17.47	17470.35	24.21	0:29:59.000	420515.76	402703.58	0.000	3550.0	368.16	2:11:02.000	2:03:52.000	456.236	145.291	0.0	-0.11	-3.28	
113	72.20	72.21	72203.61	72213.22	100.013	256.39	253.52	256391.19	253522.32	88.65	64.01	17.47	17470.64	24.19	0:29:59.000	420059.76	402738.31	0.000	3550.0	368.36	2:10:56.000	2:03:56.000	460.526	137.948	0.0	0.01	-2.87	
114	72.27	72.23	72269.93	72233.17	99.949	256.63	253.60	256628.78	253595.22	88.61	64.04	17.47	17470.55	24.19	0:29:59.000	420241.87	402288.69	0.000	3550.0	368.47	2:11:17.000	2:03:58.000	456.236	137.672	0.0	-0.04	-3.03	
115	72.27	72.22	72273.48	72215.99	99.920	256.64	253.54	256637.43	253538.61	88.62	64.05	17.47	17471.07	24.19	0:29:59.000	419449.51	402941.06	0.000	3550.0	368.38	2:11:04.000	2:03:56.000	451.945	137.741	0.0	-0.06	-3.10	
116	72.25	72.26	72252.08	72256.17	100.006	256.57	253.68	256566.51	253675.72	88.67	64.07	17.46	17462.01	24.17	0:29:58.000	420138.09	402603.62	0.000	3550.0	368.58	2:11:02.000	2:04:00.000	451.945	137.707	0.0	0.00	-2.89	
117	72.30	72.26	72304.89	72259.96	99.938	256.75	253.70	256754.62	253699.16	88.60	64.06	17.47	17472.22	24.18	0:29:59.000	419834.82	402811.78	0.000	3550.3	368.60	2:11:16.000	2:04:00.000	451.880	137.638	0.0	-0.04	-3.06	
